Num,Name,Ca,,, 
206,버거_바비큐킹치킨 버거,E,,,
207,버거_베이컨더블치즈 버거,E,,,
208,버거_베이컨치즈 버거 (L),E,,,
209,버거_베이컨치즈 버거 (R),E,,,
210,버거_베이컨치즈와퍼 버거,E,,,
211,버거_베이컨토마토디럭스 버거,E,,,
212,버거_불고기 4DX 버거,E,,,
213,버거_불고기더블치즈 버거,E,,,
214,버거_불고기롱치킨 버거,E,,,
215,버거_불고기몬스터 버거,E,,,
216,버거_불고기 버거,E,,,
217,버거_불고기 버거,E,,,
218,버거_불고기 버거,E,,,
219,버거_불고기 버거,E,,,
220,버거_불고기 버거,E,,,
221,버거_불고기 버거,E,,,
222,버거_불고기와퍼 버거,E,,,
223,버거_불고기와퍼주니어 버거,E,,,
224,버거_불싸이 버거,E,,,
225,버거_블랙라벨더블다운맥스 버거,E,,,
226,버거_블랙라벨폴인치즈 버거,E,,,
227,버거_비프불고기 버거,E,,,
228,버거_빅맥 버거,E,,,
229,버거_빅불 버거,E,,,
230,버거_사각새우 더블 버거,E,,,
231,버거_산체스 버거,E,,,
232,버거_살사리코 버거,E,,,
233,버거_새우 버거,E,,,
234,버거_새우불고기 버거,E,,,
235,버거_쉬림프페퍼로니모짜 버거 (R),E,,,
236,버거_슈림프 버거,E,,,
237,버거_슈비 버거,E,,,
238,버거_슈슈 버거,E,,,
239,버거_스리라차치킨 버거,E,,,
240,버거_스모키살사 버거,E,,,
241,버거_스위트 핫도그,E,,,
242,버거_스태커2와퍼 버거,E,,,
243,버거_스태커3와퍼 버거,E,,,
244,버거_스태커4와퍼 버거,E,,,
245,버거_시그니처더블 버거,E,,,
246,버거_시그니처싱글 버거,E,,,
247,버거_싸이 버거,E,,,
248,버거_싸이플렉스 버거,E,,,
249,버거_아메리칸치즈 버거,E,,,
250,버거_양념치킨싸이 버거,E,,,
251,버거_언빌리버블 버거,E,,,
252,버거_에그불고기 버거,E,,,
253,버거_에그불고기 버거,E,,,
254,버거_오리지널더블 버거,E,,,
255,버거_오리지널싱글 버거,E,,,
256,버거_와규에디션 Ⅱ,E,,,
257,버거_와퍼 버거,E,,,
258,버거_와퍼주니어 버거,E,,,
259,버거_인크레더블 버거,E,,,
260,버거_직화버섯소불고기 버거,E,,,
261,버거_직화소불고기버거,E,,,
262,버거_징거 더블다운맥스 버거,E,,,
263,버거_징거 버거,E,,,
264,버거_치아바타머쉬룸 버거,E,,,
265,버거_치즈 NO.5 버거,E,,,
266,버거_치즈 버거 (R),E,,,
267,버거_치즈 버거라지 (L),E,,,
268,버거_치즈 버거,E,,,
269,버거_치즈 버거,E,,,
270,버거_치즈베이컨 버거,E,,,
271,버거_치즈와퍼 버거,E,,,
272,버거_치즈와퍼주니어 버거,E,,,
273,버거_치즈홀릭 버거 체다,E,,,
274,버거_치킨몬스터 버거,E,,,
275,버거_치킨 버거,E,,,
276,버거_치킨스테이크 버거,E,,,
277,버거_캡새 버거,E,,,
278,버거_코울슬로치킨 버거,E,,,
279,버거_콰트로치즈와퍼 버거,E,,,
280,버거_콰트로치즈와퍼주니어 버거,E,,,
281,버거_쿼터파운더치즈 버거,E,,,
282,버거_클래식치즈 버거,E,,,
283,버거_킹치킨 버거,E,,,
284,버거_타워 버거,E,,,
285,버거_텍사스바비큐치킨 버거,E,,,
286,버거_통새우 버거,E,,,
287,버거_통새우 버거,E,,,
288,버거_통새우 버거,E,,,
289,버거_통새우와퍼 버거,E,,,
290,버거_통새우와퍼주니어 버거,E,,,
291,버거_페퍼로니 버거,E,,,
292,버거_페퍼로니치킨 버거,E,,,
293,버거_폴더 버거 비프,E,,,
294,버거_프랭크 버거 (L),E,,,
295,버거_프랭크 버거 (R),E,,,
296,버거_필레오피쉬 버거,E,,,
297,버거_하와이안BBQ 버거,E,,,
298,버거_한우불고기 버거,E,,,
299,버거_할라피뇨와퍼 버거,E,,,
300,버거_할라피뇨와퍼주니어 버거,E,,,
301,버거_할라피뇨통살 버거,E,,,
302,버거_함박스테이크 버거,E,,,
303,버거_핫슈피뇨 버거,E,,,
304,버거_핫치즈징거 버거,E,,,
305,버거_핫크리스피 버거,E,,,
306,버거_핫통삼겹베이컨 버거,E,,,
307,버거_해쉬브라운&치킨 버거,E,,,
308,버거_햄치즈휠렛 버거,E,,,
309,버거_화이트갈릭 버거,E,,,
310,버거_휠렛 버거,E,,,
311,버거_BLT 오믈렛 킹모닝,E,,,
312,버거_JG 버거,E,,,
313,버거_JG 버거 (L),E,,,
314,버거_SG불고기 버거,E,,,
315,버거_SG불고기 버거 (L),E,,,
316,버거_SG크림치즈 버거,E,,,
317,버거_SG크림치즈 버거 (L),E,,,
318,버거_갈릭바베큐치킨 버거,E,,,
319,버거_갈릭불고기와퍼 버거,E,,,
320,버거_갈릭붐 버거,E,,,
