Num,Name,AllKcal,OhKcal,W,P,F,C,S,Na,SF
464,닭구이,205.2,76,270,7.07,3.77,3.01,1.98,250,1.05
465,돼지갈비구이_간장,232.2,129,180,7.96,7.78,6.56,3.35,215,2.12
466,삼치구이,243.2,64,380,9.55,2.38,0.47,0,166,0.5
467,소내장구이,239.2,92,260,6.75,6.53,0.75,0.1,57,1.83
468,소불고기_버섯,465.6,97,480,6.07,5.35,6.58,2.37,214,2.02
469,오리고기로스,574.2,174,330,11.76,13.5,0.5,0.28,161,4.34
470,옥돔구이,89.7,39,230,4.91,1.92,0.11,0,33,0.34
471,장어구이_고추장,254.6,134,190,10.05,8.25,4.82,1.88,207,2.22
472,장어구이_소금,253.45,137,185,9.94,10.37,0.23,0,196,2.86
473,전어구이,118.8,33,360,5.86,0.82,0.06,0,193,0.25
474,황태구이_양념,244.8,144,170,20.64,3.78,5.91,2.33,304,0.58
475,돼지고기볶음_돼지고기,536,134,400,9.53,7.88,6.43,2.85,168,2.69
476,오징어볶음_채소,290.4,88,330,10.06,2.16,7.23,3.38,288,0.41
477,오징어채볶음,114.8,164,70,25.48,3.41,6.56,2.35,522,0.56
478,유산슬,291.1,71,410,9.09,1.96,4.84,0.59,461,0.4
479,주꾸미볶음_채소,233.1,74,315,6.94,1.91,7.99,3.13,142,0.31
480,중식잡채,373.5,83,450,2.3,2.24,13.58,1.13,112,0.54
481,쫄볶이,945,150,630,4.7,1.41,29.37,3.97,652,0.58
482,가자미조림,173.6,62,280,7.9,1.37,4.41,1.51,241,0.24
483,갈치조림_무,260,65,400,6.31,2.4,4.44,1.78,232,0.67
484,감자조림,52.8,66,80,1.58,0.85,13.29,1.89,242,0.14
485,고등어조림_배추김치,322.5,75,430,6.5,3.45,4.32,1.81,299,0.88
486,고추조림_멸치,45.6,57,80,7.08,1.21,4.69,1.24,464,0.24
487,꽁치조림_채소,136.8,72,190,8.85,1.9,4.75,1.7,180,0.34
488,달걀조림,87.2,109,80,9.01,4.79,6.53,1.5,498,1.63
489,닭도리탕,444.6,78,570,6.51,3.34,5.6,1.55,166,0.89
